Run,Assay Type,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,AvgSpotLen,Bases,Bytes,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,sex,isolate,INSDC_center_alias,AssemblyName,Description,Breed,tissue,BioSampleModel,dev_stage,label,Age,Biomaterial_provider,strain,disease,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,phenotype,body_site,isolation-source,collection_date,Cultivar,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,instrument_model (run),Isolation_source
ERR1527949,WGS,SAMEA4075243,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598841,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075243,ERP016448,PRJEB14779,299,47971663672,15609445466,2016-09-11,2018-11-16,AKT004,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246353,ERS1246353,Akhal-Teke,,,,GCF_000002305.2,Akhal-Teke - male,,,,,,,,,,,,,,,,,,,,,
ERR1527950,WGS,SAMEA4075244,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598842,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075244,ERP016448,PRJEB14779,299,53097207633,16923695333,2016-09-11,2018-11-16,AKT006,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246354,ERS1246354,Akhal-Teke,,,,GCF_000002305.2,Akhal-Teke - male,,,,,,,,,,,,,,,,,,,,,
ERR1527951,WGS,SAMEA4075245,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598843,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075245,ERP016448,PRJEB14779,299,76836450732,24506583888,2016-09-11,2018-11-16,AV145,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246355,ERS1246355,Arabian,,,,GCF_000002305.2,Arabian - female,,,,,,,,,,,,,,,,,,,,,
ERR1527952,WGS,SAMEA4075246,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598844,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075246,ERP016448,PRJEB14779,202,63630041208,33365974563,2016-09-11,2018-11-16,FM001,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246356,ERS1246356,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527953,WGS,SAMEA4075247,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598845,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075247,ERP016448,PRJEB14779,190,24631466620,13359357927,2016-09-11,2018-11-16,FM0238,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246357,ERS1246357,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes- male,,,,,,,,,,,,,,,,,,,,,
ERR1527954,WGS,SAMEA4075248,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598846,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075248,ERP016448,PRJEB14779,202,28580867688,16093462686,2016-09-11,2018-11-16,FM0334,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246358,ERS1246358,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - male,,,,,,,,,,,,,,,,,,,,,
ERR1527955,WGS,SAMEA4075249,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598847,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075249,ERP016448,PRJEB14779,202,40162165200,20218531952,2016-09-11,2018-11-16,FM0512,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246359,ERS1246359,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - male,,,,,,,,,,,,,,,,,,,,,
ERR1527956,WGS,SAMEA4075250,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598848,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075250,ERP016448,PRJEB14779,202,41110601660,21638358769,2016-09-11,2018-11-16,FM0570,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246360,ERS1246360,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527957,WGS,SAMEA4075251,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598849,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075251,ERP016448,PRJEB14779,202,18832328498,9682638805,2016-09-11,2018-11-16,FM0664,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246361,ERS1246361,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527958,WGS,SAMEA4075252,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598850,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075252,ERP016448,PRJEB14779,202,51025991840,26867737150,2016-09-11,2018-11-16,FM0673,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246362,ERS1246362,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527959,WGS,SAMEA4075253,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598851,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075253,ERP016448,PRJEB14779,202,40960787754,21401848681,2016-09-11,2018-11-16,FM1176,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246363,ERS1246363,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527960,WGS,SAMEA4075254,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598852,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075254,ERP016448,PRJEB14779,190,13348372480,7419082141,2016-09-11,2018-11-16,FM1178,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246364,ERS1246364,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - male,,,,,,,,,,,,,,,,,,,,,
ERR1527961,WGS,SAMEA4075255,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598853,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075255,ERP016448,PRJEB14779,202,33210036038,16423403282,2016-09-11,2018-11-16,FM1215,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246365,ERS1246365,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527962,WGS,SAMEA4075256,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598854,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075256,ERP016448,PRJEB14779,202,43076469094,22095760942,2016-09-11,2018-11-16,FM1339,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246366,ERS1246366,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527963,WGS,SAMEA4075257,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598855,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075257,ERP016448,PRJEB14779,202,40468429318,20578467951,2016-09-11,2018-11-16,FM1369,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246367,ERS1246367,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527964,WGS,SAMEA4075258,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598856,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075258,ERP016448,PRJEB14779,202,38383526314,20003926153,2016-09-11,2018-11-16,FM1435,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246368,ERS1246368,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes- male,,,,,,,,,,,,,,,,,,,,,
ERR1527965,WGS,SAMEA4075259,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598857,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075259,ERP016448,PRJEB14779,202,41521850430,20575674093,2016-09-11,2018-11-16,FM1459,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246369,ERS1246369,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes - female,,,,,,,,,,,,,,,,,,,,,
ERR1527966,WGS,SAMEA4075260,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598858,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075260,ERP016448,PRJEB14779,202,26412070852,13580514442,2016-09-11,2018-11-16,HF10,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246370,ERS1246370,Haflinger,,,,GCF_000002305.2,Haflinger- female,,,,,,,,,,,,,,,,,,,,,
ERR1527967,WGS,SAMEA4075261,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598859,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075261,ERP016448,PRJEB14779,202,32208642046,17505139496,2016-09-11,2018-11-16,KWPN1,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246371,ERS1246371,Koninklijk Warmbloed Paard Nederland,,,,GCF_000002305.2,Koninklijk Warmbloed Paard Nederland,,,,,,,,,,,,,,,,,,,,,
ERR1527968,WGS,SAMEA4075262,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598860,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075262,ERP016448,PRJEB14779,299,90141437878,34548747263,2016-09-11,2018-11-16,QH070,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246372,ERS1246372,Quarter Horse,,,,GCF_000002305.2,Quarter Horse - female,,,,,,,,,,,,,,,,,,,,,
ERR1527969,WGS,SAMEA4075263,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598861,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075263,ERP016448,PRJEB14779,300,85760082343,36963374637,2016-09-11,2018-11-16,QH224,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246373,ERS1246373,Quarter Horse,,,,GCF_000002305.2,Quarter Horse - male,,,,,,,,,,,,,,,,,,,,,
ERR1527970,WGS,SAMEA4075264,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598862,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075264,ERP016448,PRJEB14779,299,48153985988,18574328472,2016-09-11,2018-11-16,QH225,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246374,ERS1246374,Quarter Horse,,,,GCF_000002305.2,Quarter Horse - male,,,,,,,,,,,,,,,,,,,,,
ERR1527971,WGS,SAMEA4075265,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598863,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075265,ERP016448,PRJEB14779,202,47963197342,25037821296,2016-09-11,2018-11-16,FM0474,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246375,ERS1246375,Franches-Montagnes,,,,GCF_000002305.2,Franches-Montagnes- male,,,,,,,,,,,,,,,,,,,,,
ERR1527972,WGS,SAMEA4075266,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1598864,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075266,ERP016448,PRJEB14779,202,31466223568,17045697503,2016-09-11,2018-11-16,SW024,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246376,ERS1246376,Swiss Warmblood,,,,GCF_000002305.2,Swiss Warmblood - female,,,,,,,,,,,,,,,,,,,,,
ERR1545178,WGS,SAMEA4351921,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615948,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351921,ERP016448,PRJEB14779,202,45281582702,22466020843,2016-09-11,2018-11-16,BW01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:51Z,public,ERS1263370,ERS1263370,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545179,WGS,SAMEA4351922,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615949,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351922,ERP016448,PRJEB14779,202,45919141566,22547214454,2016-09-11,2018-11-16,BY01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263371,ERS1263371,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545180,WGS,SAMEA4351923,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615950,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351923,ERP016448,PRJEB14779,202,35293847636,17312518231,2016-09-11,2018-11-16,HAN01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263372,ERS1263372,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545181,WGS,SAMEA4351924,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615951,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351924,ERP016448,PRJEB14779,202,53335457032,26064911487,2016-09-11,2018-11-16,HOL01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263373,ERS1263373,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545182,WGS,SAMEA4351925,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615952,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351925,ERP016448,PRJEB14779,202,33196328924,17078517569,2016-09-11,2018-11-16,HOL02,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263374,ERS1263374,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545183,WGS,SAMEA4351926,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615953,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351926,ERP016448,PRJEB14779,202,51953678254,25878921404,2016-09-11,2018-11-16,OLD01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263375,ERS1263375,German WarmBlood,,,,GCA_000002305.1,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545184,WGS,SAMEA4351927,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615954,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351927,ERP016448,PRJEB14779,202,43896181458,21655331639,2016-09-11,2018-11-16,OLD02,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263376,ERS1263376,German WarmBlood,,,,GCA_000002305.1,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545185,WGS,SAMEA4351928,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615955,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351928,ERP016448,PRJEB14779,202,37744735654,19599715772,2016-09-11,2018-11-16,TRA01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263377,ERS1263377,German WarmBlood,,,,GCA_000002305.1,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545186,WGS,SAMEA4351930,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615956,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351930,ERP016448,PRJEB14779,202,56179429778,27858659278,2016-09-11,2018-11-16,WF01,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263379,ERS1263379,German WarmBlood,,,,GCA_000002305.1,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545187,WGS,SAMEA4351931,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615957,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351931,ERP016448,PRJEB14779,202,43625361472,22583125445,2016-09-11,2018-11-16,WF02,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263380,ERS1263380,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545188,WGS,SAMEA4351933,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615958,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351933,ERP016448,PRJEB14779,260,111618441750,43023723079,2016-09-11,2018-11-16,RAO310,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263382,ERS1263382,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1545190,WGS,SAMEA4351932,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1615960,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351932,ERP016448,PRJEB14779,202,42030332304,22138054015,2016-09-11,2018-11-16,P1,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263381,ERS1263381,German WarmBlood,,,,GCF_000002305.2,German Warmblood,,,,,,,,,,,,,,,,,,,,,
ERR1735862,WGS,SAMEA4552432,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1805697,Illumina HiSeq 2500,TB049_WGA-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-11-17T00:00:00Z,SAMEA4552432,ERP016448,PRJEB14779,300,80732195825,22118437170,2016-11-16,2018-11-16,TB049_WGA,ERC000011,UNIBE-IG,2016-11-16T17:02:46Z,2016-11-16T14:26:00Z,public,ERS1451611,ERS1451611,Vollblut - female,,,,GCA_000002305.1,,,,,,,,,,,,,,,,,,,,,,
ERR2731055,WGS,SAMEA4822838,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2744284,Illumina HiSeq 3000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2018-08-10T00:00:00Z,SAMEA4822838,ERP016448,PRJEB14779,299,21973297660,2716077227,2018-08-09,2018-11-16,APH053,ERC000011,UNIBE-IG,2018-08-09T17:03:22Z,2018-08-09T07:09:14Z,public,ERS2642726,ERS2642726,American Paint Horse,,,,PJAA01,American Paint Horse - female,,,,,,,,,,,,,,,,,,,,,
ERR2731056,WGS,SAMEA4822839,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2744285,Illumina HiSeq 3000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2018-08-10T00:00:00Z,SAMEA4822839,ERP016448,PRJEB14779,299,15673817866,1842293132,2018-08-09,2018-11-16,SPH155,ERC000011,UNIBE-IG,2018-08-09T17:03:22Z,2018-08-09T07:09:14Z,public,ERS2642727,ERS2642727,Shetland Pony,,,,PJAA01,Shetland Pony- female,,,,,,,,,,,,,,,,,,,,,
