# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_4204	unplaced-scaffold	na	na	AAWR02049464.1	=	NW_001870961.1	Primary Assembly	4279	na
scaffold_4205	unplaced-scaffold	na	na	AAWR02049465.1	=	NW_001870962.1	Primary Assembly	4278	na
scaffold_4206	unplaced-scaffold	na	na	AAWR02049466.1	=	NW_001870963.1	Primary Assembly	4278	na
scaffold_4207	unplaced-scaffold	na	na	AAWR02049467.1	=	NW_001870964.1	Primary Assembly	4277	na
scaffold_4208	unplaced-scaffold	na	na	AAWR02049468.1	=	NW_001870965.1	Primary Assembly	4277	na
scaffold_4211	unplaced-scaffold	na	na	AAWR02049473.1	=	NW_001870969.1	Primary Assembly	4277	na
scaffold_4212	unplaced-scaffold	na	na	AAWR02049474.1	=	NW_001870970.1	Primary Assembly	4275	na
scaffold_4213	unplaced-scaffold	na	na	AAWR02049475.1	=	NW_001870971.1	Primary Assembly	4275	na
scaffold_4214	unplaced-scaffold	na	na	AAWR02049476.1	=	NW_001870972.1	Primary Assembly	4274	na
scaffold_4217	unplaced-scaffold	na	na	AAWR02049481.1	=	NW_001870975.1	Primary Assembly	4271	na
scaffold_4218	unplaced-scaffold	na	na	AAWR02049482.1	=	NW_001870976.1	Primary Assembly	4270	na
scaffold_4219	unplaced-scaffold	na	na	AAWR02049483.1	=	NW_001870978.1	Primary Assembly	4270	na
scaffold_4220	unplaced-scaffold	na	na	AAWR02049484.1	=	NW_001870979.1	Primary Assembly	4269	na
scaffold_4221	unplaced-scaffold	na	na	AAWR02049485.1	=	NW_001870980.1	Primary Assembly	4269	na
scaffold_4222	unplaced-scaffold	na	na	AAWR02049486.1	=	NW_001870981.1	Primary Assembly	4268	na
scaffold_4223	unplaced-scaffold	na	na	AAWR02049487.1	=	NW_001870982.1	Primary Assembly	4268	na
scaffold_4225	unplaced-scaffold	na	na	AAWR02049490.1	=	NW_001870984.1	Primary Assembly	4268	na
scaffold_4226	unplaced-scaffold	na	na	AAWR02049491.1	=	NW_001870985.1	Primary Assembly	4267	na
scaffold_4227	unplaced-scaffold	na	na	AAWR02049492.1	=	NW_001870986.1	Primary Assembly	4267	na
scaffold_4228	unplaced-scaffold	na	na	AAWR02049493.1	=	NW_001870987.1	Primary Assembly	4266	na
scaffold_4231	unplaced-scaffold	na	na	AAWR02049498.1	=	NW_001870991.1	Primary Assembly	4265	na
scaffold_4232	unplaced-scaffold	na	na	AAWR02049499.1	=	NW_001870992.1	Primary Assembly	4265	na
scaffold_4233	unplaced-scaffold	na	na	AAWR02049500.1	=	NW_001870993.1	Primary Assembly	4265	na
scaffold_4234	unplaced-scaffold	na	na	AAWR02049501.1	=	NW_001870994.1	Primary Assembly	4265	na
scaffold_4235	unplaced-scaffold	na	na	AAWR02049502.1	=	NW_001870995.1	Primary Assembly	4265	na
scaffold_4236	unplaced-scaffold	na	na	AAWR02049503.1	=	NW_001870996.1	Primary Assembly	4264	na
scaffold_4238	unplaced-scaffold	na	na	AAWR02049506.1	=	NW_001870998.1	Primary Assembly	4264	na
scaffold_4239	unplaced-scaffold	na	na	AAWR02049507.1	=	NW_001871000.1	Primary Assembly	4264	na
scaffold_4240	unplaced-scaffold	na	na	AAWR02049508.1	=	NW_001871001.1	Primary Assembly	4263	na
scaffold_4241	unplaced-scaffold	na	na	AAWR02049509.1	=	NW_001871002.1	Primary Assembly	4262	na
scaffold_4242	unplaced-scaffold	na	na	AAWR02049510.1	=	NW_001871003.1	Primary Assembly	4262	na
scaffold_4243	unplaced-scaffold	na	na	AAWR02049511.1	=	NW_001871004.1	Primary Assembly	4260	na
scaffold_4244	unplaced-scaffold	na	na	AAWR02049512.1	=	NW_001871005.1	Primary Assembly	4258	na
scaffold_4245	unplaced-scaffold	na	na	AAWR02049513.1	=	NW_001871006.1	Primary Assembly	4258	na
scaffold_4246	unplaced-scaffold	na	na	AAWR02049514.1	=	NW_001871007.1	Primary Assembly	4258	na
scaffold_4247	unplaced-scaffold	na	na	AAWR02049515.1	=	NW_001871008.1	Primary Assembly	4258	na
scaffold_4248	unplaced-scaffold	na	na	AAWR02049516.1	=	NW_001871009.1	Primary Assembly	4256	na
scaffold_4249	unplaced-scaffold	na	na	AAWR02049517.1	=	NW_001871011.1	Primary Assembly	4255	na
scaffold_4251	unplaced-scaffold	na	na	AAWR02049520.1	=	NW_001871013.1	Primary Assembly	4255	na
scaffold_4252	unplaced-scaffold	na	na	AAWR02049521.1	=	NW_001871014.1	Primary Assembly	4255	na
scaffold_4255	unplaced-scaffold	na	na	AAWR02049526.1	=	NW_001871017.1	Primary Assembly	4253	na
scaffold_4256	unplaced-scaffold	na	na	AAWR02049527.1	=	NW_001871018.1	Primary Assembly	4253	na
scaffold_4257	unplaced-scaffold	na	na	AAWR02049528.1	=	NW_001871019.1	Primary Assembly	4251	na
scaffold_4258	unplaced-scaffold	na	na	AAWR02049529.1	=	NW_001871020.1	Primary Assembly	4251	na
scaffold_4259	unplaced-scaffold	na	na	AAWR02049530.1	=	NW_001871022.1	Primary Assembly	4250	na
scaffold_4260	unplaced-scaffold	na	na	AAWR02049531.1	=	NW_001871023.1	Primary Assembly	4250	na
scaffold_4262	unplaced-scaffold	na	na	AAWR02049534.1	=	NW_001871025.1	Primary Assembly	4248	na
scaffold_4263	unplaced-scaffold	na	na	AAWR02049535.1	=	NW_001871026.1	Primary Assembly	4248	na
scaffold_4264	unplaced-scaffold	na	na	AAWR02049536.1	=	NW_001871027.1	Primary Assembly	4248	na
scaffold_4266	unplaced-scaffold	na	na	AAWR02049539.1	=	NW_001871029.1	Primary Assembly	4244	na
scaffold_4267	unplaced-scaffold	na	na	AAWR02049540.1	=	NW_001871030.1	Primary Assembly	4244	na
scaffold_4268	unplaced-scaffold	na	na	AAWR02049541.1	=	NW_001871031.1	Primary Assembly	4244	na
scaffold_4269	unplaced-scaffold	na	na	AAWR02049542.1	=	NW_001871033.1	Primary Assembly	4244	na
scaffold_4270	unplaced-scaffold	na	na	AAWR02049543.1	=	NW_001871034.1	Primary Assembly	4244	na
scaffold_4271	unplaced-scaffold	na	na	AAWR02049544.1	=	NW_001871035.1	Primary Assembly	4243	na
scaffold_4273	unplaced-scaffold	na	na	AAWR02049547.1	=	NW_001871037.1	Primary Assembly	4242	na
scaffold_4274	unplaced-scaffold	na	na	AAWR02049548.1	=	NW_001871038.1	Primary Assembly	4242	na
scaffold_4275	unplaced-scaffold	na	na	AAWR02049549.1	=	NW_001871039.1	Primary Assembly	4241	na
scaffold_4276	unplaced-scaffold	na	na	AAWR02049550.1	=	NW_001871040.1	Primary Assembly	4240	na
scaffold_4277	unplaced-scaffold	na	na	AAWR02049551.1	=	NW_001871041.1	Primary Assembly	4239	na
scaffold_4278	unplaced-scaffold	na	na	AAWR02049552.1	=	NW_001871042.1	Primary Assembly	4239	na
scaffold_4279	unplaced-scaffold	na	na	AAWR02049553.1	=	NW_001871044.1	Primary Assembly	4238	na
scaffold_4280	unplaced-scaffold	na	na	AAWR02049554.1	=	NW_001871045.1	Primary Assembly	4238	na
scaffold_4281	unplaced-scaffold	na	na	AAWR02049555.1	=	NW_001871046.1	Primary Assembly	4237	na
scaffold_4282	unplaced-scaffold	na	na	AAWR02049556.1	=	NW_001871047.1	Primary Assembly	4236	na
scaffold_4283	unplaced-scaffold	na	na	AAWR02049557.1	=	NW_001871048.1	Primary Assembly	4236	na
scaffold_4284	unplaced-scaffold	na	na	AAWR02049558.1	=	NW_001871049.1	Primary Assembly	4235	na
scaffold_4285	unplaced-scaffold	na	na	AAWR02049559.1	=	NW_001871050.1	Primary Assembly	4235	na
scaffold_4286	unplaced-scaffold	na	na	AAWR02049560.1	=	NW_001871051.1	Primary Assembly	4235	na
scaffold_4287	unplaced-scaffold	na	na	AAWR02049561.1	=	NW_001871052.1	Primary Assembly	4234	na
scaffold_4288	unplaced-scaffold	na	na	AAWR02049562.1	=	NW_001871053.1	Primary Assembly	4234	na
scaffold_4289	unplaced-scaffold	na	na	AAWR02049563.1	=	NW_001871055.1	Primary Assembly	4233	na
scaffold_4290	unplaced-scaffold	na	na	AAWR02049564.1	=	NW_001871056.1	Primary Assembly	4232	na
scaffold_4291	unplaced-scaffold	na	na	AAWR02049565.1	=	NW_001871057.1	Primary Assembly	4231	na
scaffold_4292	unplaced-scaffold	na	na	AAWR02049566.1	=	NW_001871058.1	Primary Assembly	4231	na
scaffold_4293	unplaced-scaffold	na	na	AAWR02049567.1	=	NW_001871059.1	Primary Assembly	4230	na
scaffold_4295	unplaced-scaffold	na	na	AAWR02049570.1	=	NW_001871061.1	Primary Assembly	4229	na
scaffold_4296	unplaced-scaffold	na	na	AAWR02049571.1	=	NW_001871062.1	Primary Assembly	4229	na
scaffold_4298	unplaced-scaffold	na	na	AAWR02049574.1	=	NW_001871064.1	Primary Assembly	4228	na
scaffold_4299	unplaced-scaffold	na	na	AAWR02049575.1	=	NW_001871066.1	Primary Assembly	4227	na
scaffold_4300	unplaced-scaffold	na	na	AAWR02049576.1	=	NW_001871067.1	Primary Assembly	4227	na
scaffold_4301	unplaced-scaffold	na	na	AAWR02049577.1	=	NW_001871068.1	Primary Assembly	4227	na
scaffold_4302	unplaced-scaffold	na	na	AAWR02049578.1	=	NW_001871069.1	Primary Assembly	4227	na
scaffold_4303	unplaced-scaffold	na	na	AAWR02049579.1	=	NW_001871070.1	Primary Assembly	4225	na
scaffold_4304	unplaced-scaffold	na	na	AAWR02049580.1	=	NW_001871071.1	Primary Assembly	4225	na
scaffold_4305	unplaced-scaffold	na	na	AAWR02049581.1	=	NW_001871072.1	Primary Assembly	4225	na
scaffold_4306	unplaced-scaffold	na	na	AAWR02049582.1	=	NW_001871073.1	Primary Assembly	4225	na
scaffold_4308	unplaced-scaffold	na	na	AAWR02049585.1	=	NW_001871075.1	Primary Assembly	4223	na
scaffold_4309	unplaced-scaffold	na	na	AAWR02049586.1	=	NW_001871077.1	Primary Assembly	4221	na
scaffold_4310	unplaced-scaffold	na	na	AAWR02049587.1	=	NW_001871078.1	Primary Assembly	4220	na
scaffold_4311	unplaced-scaffold	na	na	AAWR02049588.1	=	NW_001871079.1	Primary Assembly	4219	na
scaffold_4312	unplaced-scaffold	na	na	AAWR02049589.1	=	NW_001871080.1	Primary Assembly	4219	na
scaffold_4313	unplaced-scaffold	na	na	AAWR02049590.1	=	NW_001871081.1	Primary Assembly	4218	na
scaffold_4314	unplaced-scaffold	na	na	AAWR02049591.1	=	NW_001871082.1	Primary Assembly	4218	na
scaffold_4315	unplaced-scaffold	na	na	AAWR02049592.1	=	NW_001871083.1	Primary Assembly	4217	na
scaffold_4316	unplaced-scaffold	na	na	AAWR02049593.1	=	NW_001871084.1	Primary Assembly	4216	na
scaffold_4318	unplaced-scaffold	na	na	AAWR02049596.1	=	NW_001871086.1	Primary Assembly	4213	na
scaffold_4319	unplaced-scaffold	na	na	AAWR02049597.1	=	NW_001871088.1	Primary Assembly	4212	na
scaffold_4320	unplaced-scaffold	na	na	AAWR02049598.1	=	NW_001871089.1	Primary Assembly	4211	na
scaffold_4321	unplaced-scaffold	na	na	AAWR02049599.1	=	NW_001871090.1	Primary Assembly	4211	na
scaffold_4323	unplaced-scaffold	na	na	AAWR02049602.1	=	NW_001871092.1	Primary Assembly	4211	na
scaffold_4324	unplaced-scaffold	na	na	AAWR02049603.1	=	NW_001871093.1	Primary Assembly	4210	na
scaffold_4325	unplaced-scaffold	na	na	AAWR02049604.1	=	NW_001871094.1	Primary Assembly	4209	na
scaffold_4326	unplaced-scaffold	na	na	AAWR02049605.1	=	NW_001871095.1	Primary Assembly	4209	na
scaffold_4327	unplaced-scaffold	na	na	AAWR02049606.1	=	NW_001871096.1	Primary Assembly	4209	na
scaffold_4328	unplaced-scaffold	na	na	AAWR02049607.1	=	NW_001871097.1	Primary Assembly	4209	na
scaffold_4329	unplaced-scaffold	na	na	AAWR02049608.1	=	NW_001871099.1	Primary Assembly	4208	na
scaffold_4330	unplaced-scaffold	na	na	AAWR02049609.1	=	NW_001871100.1	Primary Assembly	4208	na
scaffold_4332	unplaced-scaffold	na	na	AAWR02049612.1	=	NW_001871102.1	Primary Assembly	4206	na
scaffold_4333	unplaced-scaffold	na	na	AAWR02049613.1	=	NW_001871103.1	Primary Assembly	4206	na
scaffold_4334	unplaced-scaffold	na	na	AAWR02049614.1	=	NW_001871104.1	Primary Assembly	4205	na
scaffold_4335	unplaced-scaffold	na	na	AAWR02049615.1	=	NW_001871105.1	Primary Assembly	4205	na
scaffold_4336	unplaced-scaffold	na	na	AAWR02049616.1	=	NW_001871106.1	Primary Assembly	4204	na
scaffold_4337	unplaced-scaffold	na	na	AAWR02049617.1	=	NW_001871107.1	Primary Assembly	4203	na
scaffold_4338	unplaced-scaffold	na	na	AAWR02049618.1	=	NW_001871108.1	Primary Assembly	4203	na
scaffold_4339	unplaced-scaffold	na	na	AAWR02049619.1	=	NW_001871110.1	Primary Assembly	4203	na
scaffold_4340	unplaced-scaffold	na	na	AAWR02049620.1	=	NW_001871111.1	Primary Assembly	4201	na
scaffold_4341	unplaced-scaffold	na	na	AAWR02049621.1	=	NW_001871112.1	Primary Assembly	4201	na
scaffold_4342	unplaced-scaffold	na	na	AAWR02049622.1	=	NW_001871113.1	Primary Assembly	4201	na
scaffold_4343	unplaced-scaffold	na	na	AAWR02049623.1	=	NW_001871114.1	Primary Assembly	4201	na
scaffold_4345	unplaced-scaffold	na	na	AAWR02049626.1	=	NW_001871116.1	Primary Assembly	4200	na
scaffold_4348	unplaced-scaffold	na	na	AAWR02049631.1	=	NW_001871119.1	Primary Assembly	4196	na
scaffold_4349	unplaced-scaffold	na	na	AAWR02049632.1	=	NW_001871121.1	Primary Assembly	4195	na
scaffold_4350	unplaced-scaffold	na	na	AAWR02049633.1	=	NW_001871122.1	Primary Assembly	4195	na
scaffold_4351	unplaced-scaffold	na	na	AAWR02049634.1	=	NW_001871123.1	Primary Assembly	4193	na
scaffold_4352	unplaced-scaffold	na	na	AAWR02049635.1	=	NW_001871124.1	Primary Assembly	4192	na
scaffold_4353	unplaced-scaffold	na	na	AAWR02049636.1	=	NW_001871125.1	Primary Assembly	4192	na
scaffold_4355	unplaced-scaffold	na	na	AAWR02049639.1	=	NW_001871127.1	Primary Assembly	4191	na
scaffold_4356	unplaced-scaffold	na	na	AAWR02049640.1	=	NW_001871128.1	Primary Assembly	4191	na
scaffold_4358	unplaced-scaffold	na	na	AAWR02049643.1	=	NW_001871130.1	Primary Assembly	4190	na
scaffold_4359	unplaced-scaffold	na	na	AAWR02049644.1	=	NW_001871132.1	Primary Assembly	4190	na
scaffold_4360	unplaced-scaffold	na	na	AAWR02049645.1	=	NW_001871133.1	Primary Assembly	4190	na
scaffold_4361	unplaced-scaffold	na	na	AAWR02049646.1	=	NW_001871134.1	Primary Assembly	4189	na
scaffold_4362	unplaced-scaffold	na	na	AAWR02049647.1	=	NW_001871135.1	Primary Assembly	4188	na
scaffold_4363	unplaced-scaffold	na	na	AAWR02049648.1	=	NW_001871136.1	Primary Assembly	4188	na
scaffold_4364	unplaced-scaffold	na	na	AAWR02049649.1	=	NW_001871137.1	Primary Assembly	4188	na
scaffold_4365	unplaced-scaffold	na	na	AAWR02049650.1	=	NW_001871138.1	Primary Assembly	4188	na
scaffold_4366	unplaced-scaffold	na	na	AAWR02049651.1	=	NW_001871139.1	Primary Assembly	4188	na
scaffold_4367	unplaced-scaffold	na	na	AAWR02049652.1	=	NW_001871140.1	Primary Assembly	4187	na
scaffold_4368	unplaced-scaffold	na	na	AAWR02049653.1	=	NW_001871141.1	Primary Assembly	4187	na
scaffold_4369	unplaced-scaffold	na	na	AAWR02049654.1	=	NW_001871143.1	Primary Assembly	4186	na
scaffold_4370	unplaced-scaffold	na	na	AAWR02049655.1	=	NW_001871144.1	Primary Assembly	4186	na
scaffold_4371	unplaced-scaffold	na	na	AAWR02049656.1	=	NW_001871145.1	Primary Assembly	4186	na
scaffold_4372	unplaced-scaffold	na	na	AAWR02049657.1	=	NW_001871146.1	Primary Assembly	4185	na
scaffold_4373	unplaced-scaffold	na	na	AAWR02049658.1	=	NW_001871147.1	Primary Assembly	4184	na
scaffold_4374	unplaced-scaffold	na	na	AAWR02049659.1	=	NW_001871148.1	Primary Assembly	4183	na
scaffold_4375	unplaced-scaffold	na	na	AAWR02049660.1	=	NW_001871149.1	Primary Assembly	4182	na
scaffold_4376	unplaced-scaffold	na	na	AAWR02049661.1	=	NW_001871150.1	Primary Assembly	4181	na
scaffold_4377	unplaced-scaffold	na	na	AAWR02049662.1	=	NW_001871151.1	Primary Assembly	4181	na
scaffold_4379	unplaced-scaffold	na	na	AAWR02049665.1	=	NW_001871154.1	Primary Assembly	4180	na
scaffold_4380	unplaced-scaffold	na	na	AAWR02049666.1	=	NW_001871155.1	Primary Assembly	4180	na
scaffold_4383	unplaced-scaffold	na	na	AAWR02049671.1	=	NW_001871158.1	Primary Assembly	4178	na
scaffold_4384	unplaced-scaffold	na	na	AAWR02049672.1	=	NW_001871159.1	Primary Assembly	4178	na
scaffold_4385	unplaced-scaffold	na	na	AAWR02049673.1	=	NW_001871160.1	Primary Assembly	4177	na
scaffold_4386	unplaced-scaffold	na	na	AAWR02049674.1	=	NW_001871161.1	Primary Assembly	4177	na
scaffold_4387	unplaced-scaffold	na	na	AAWR02049675.1	=	NW_001871162.1	Primary Assembly	4177	na
scaffold_4388	unplaced-scaffold	na	na	AAWR02049676.1	=	NW_001871163.1	Primary Assembly	4175	na
scaffold_4389	unplaced-scaffold	na	na	AAWR02049677.1	=	NW_001871165.1	Primary Assembly	4174	na
scaffold_4390	unplaced-scaffold	na	na	AAWR02049678.1	=	NW_001871166.1	Primary Assembly	4173	na
scaffold_4391	unplaced-scaffold	na	na	AAWR02049679.1	=	NW_001871167.1	Primary Assembly	4173	na
scaffold_4392	unplaced-scaffold	na	na	AAWR02049680.1	=	NW_001871168.1	Primary Assembly	4173	na
scaffold_4393	unplaced-scaffold	na	na	AAWR02049681.1	=	NW_001871169.1	Primary Assembly	4172	na
scaffold_4395	unplaced-scaffold	na	na	AAWR02049684.1	=	NW_001871171.1	Primary Assembly	4171	na
scaffold_4396	unplaced-scaffold	na	na	AAWR02049685.1	=	NW_001871172.1	Primary Assembly	4170	na
scaffold_4397	unplaced-scaffold	na	na	AAWR02049686.1	=	NW_001871173.1	Primary Assembly	4170	na
scaffold_4398	unplaced-scaffold	na	na	AAWR02049687.1	=	NW_001871174.1	Primary Assembly	4170	na
scaffold_4399	unplaced-scaffold	na	na	AAWR02049688.1	=	NW_001871176.1	Primary Assembly	4170	na
scaffold_4400	unplaced-scaffold	na	na	AAWR02049689.1	=	NW_001871177.1	Primary Assembly	4169	na
scaffold_4402	unplaced-scaffold	na	na	AAWR02049692.1	=	NW_001871179.1	Primary Assembly	4169	na
scaffold_4403	unplaced-scaffold	na	na	AAWR02049693.1	=	NW_001871180.1	Primary Assembly	4169	na
scaffold_4404	unplaced-scaffold	na	na	AAWR02049694.1	=	NW_001871181.1	Primary Assembly	4167	na
scaffold_4405	unplaced-scaffold	na	na	AAWR02049695.1	=	NW_001871182.1	Primary Assembly	4167	na
scaffold_4407	unplaced-scaffold	na	na	AAWR02049698.1	=	NW_001871184.1	Primary Assembly	4167	na
scaffold_4408	unplaced-scaffold	na	na	AAWR02049699.1	=	NW_001871185.1	Primary Assembly	4165	na
scaffold_4409	unplaced-scaffold	na	na	AAWR02049700.1	=	NW_001871187.1	Primary Assembly	4165	na
scaffold_4410	unplaced-scaffold	na	na	AAWR02049701.1	=	NW_001871188.1	Primary Assembly	4165	na
scaffold_4411	unplaced-scaffold	na	na	AAWR02049702.1	=	NW_001871189.1	Primary Assembly	4164	na
scaffold_4412	unplaced-scaffold	na	na	AAWR02049703.1	=	NW_001871190.1	Primary Assembly	4164	na
scaffold_4413	unplaced-scaffold	na	na	AAWR02049704.1	=	NW_001871191.1	Primary Assembly	4163	na
scaffold_4414	unplaced-scaffold	na	na	AAWR02049705.1	=	NW_001871192.1	Primary Assembly	4163	na
scaffold_4415	unplaced-scaffold	na	na	AAWR02049706.1	=	NW_001871193.1	Primary Assembly	4163	na
scaffold_4416	unplaced-scaffold	na	na	AAWR02049707.1	=	NW_001871194.1	Primary Assembly	4162	na
scaffold_4417	unplaced-scaffold	na	na	AAWR02049708.1	=	NW_001871195.1	Primary Assembly	4162	na
scaffold_4418	unplaced-scaffold	na	na	AAWR02049709.1	=	NW_001871196.1	Primary Assembly	4161	na
scaffold_4419	unplaced-scaffold	na	na	AAWR02049710.1	=	NW_001871198.1	Primary Assembly	4161	na
scaffold_4420	unplaced-scaffold	na	na	AAWR02049711.1	=	NW_001871199.1	Primary Assembly	4161	na
scaffold_4421	unplaced-scaffold	na	na	AAWR02049712.1	=	NW_001871200.1	Primary Assembly	4161	na
scaffold_4422	unplaced-scaffold	na	na	AAWR02049713.1	=	NW_001871201.1	Primary Assembly	4161	na
scaffold_4423	unplaced-scaffold	na	na	AAWR02049714.1	=	NW_001871202.1	Primary Assembly	4161	na
scaffold_4425	unplaced-scaffold	na	na	AAWR02049717.1	=	NW_001871204.1	Primary Assembly	4159	na
scaffold_4426	unplaced-scaffold	na	na	AAWR02049718.1	=	NW_001871205.1	Primary Assembly	4159	na
scaffold_4427	unplaced-scaffold	na	na	AAWR02049719.1	=	NW_001871206.1	Primary Assembly	4158	na
scaffold_4428	unplaced-scaffold	na	na	AAWR02049720.1	=	NW_001871207.1	Primary Assembly	4158	na
scaffold_4429	unplaced-scaffold	na	na	AAWR02049721.1	=	NW_001871209.1	Primary Assembly	4158	na
scaffold_4430	unplaced-scaffold	na	na	AAWR02049722.1	=	NW_001871210.1	Primary Assembly	4158	na
scaffold_4431	unplaced-scaffold	na	na	AAWR02049723.1	=	NW_001871211.1	Primary Assembly	4157	na
scaffold_4432	unplaced-scaffold	na	na	AAWR02049724.1	=	NW_001871212.1	Primary Assembly	4157	na
scaffold_4433	unplaced-scaffold	na	na	AAWR02049725.1	=	NW_001871213.1	Primary Assembly	4156	na
scaffold_4434	unplaced-scaffold	na	na	AAWR02049726.1	=	NW_001871214.1	Primary Assembly	4155	na
scaffold_4435	unplaced-scaffold	na	na	AAWR02049727.1	=	NW_001871215.1	Primary Assembly	4154	na
scaffold_4436	unplaced-scaffold	na	na	AAWR02049728.1	=	NW_001871216.1	Primary Assembly	4154	na
scaffold_4437	unplaced-scaffold	na	na	AAWR02049729.1	=	NW_001871217.1	Primary Assembly	4153	na
scaffold_4438	unplaced-scaffold	na	na	AAWR02049730.1	=	NW_001871218.1	Primary Assembly	4153	na
scaffold_4439	unplaced-scaffold	na	na	AAWR02049731.1	=	NW_001871220.1	Primary Assembly	4152	na
scaffold_4440	unplaced-scaffold	na	na	AAWR02049732.1	=	NW_001871221.1	Primary Assembly	4151	na
scaffold_4442	unplaced-scaffold	na	na	AAWR02049735.1	=	NW_001871223.1	Primary Assembly	4151	na
scaffold_4443	unplaced-scaffold	na	na	AAWR02049736.1	=	NW_001871224.1	Primary Assembly	4151	na
scaffold_4444	unplaced-scaffold	na	na	AAWR02049737.1	=	NW_001871225.1	Primary Assembly	4150	na
scaffold_4445	unplaced-scaffold	na	na	AAWR02049738.1	=	NW_001871226.1	Primary Assembly	4150	na
scaffold_4446	unplaced-scaffold	na	na	AAWR02049739.1	=	NW_001871227.1	Primary Assembly	4149	na
scaffold_4447	unplaced-scaffold	na	na	AAWR02049740.1	=	NW_001871228.1	Primary Assembly	4149	na
scaffold_4448	unplaced-scaffold	na	na	AAWR02049741.1	=	NW_001871229.1	Primary Assembly	4147	na
scaffold_4449	unplaced-scaffold	na	na	AAWR02049742.1	=	NW_001871231.1	Primary Assembly	4147	na
scaffold_4450	unplaced-scaffold	na	na	AAWR02049743.1	=	NW_001871232.1	Primary Assembly	4147	na
scaffold_4451	unplaced-scaffold	na	na	AAWR02049744.1	=	NW_001871233.1	Primary Assembly	4147	na
scaffold_4452	unplaced-scaffold	na	na	AAWR02049745.1	=	NW_001871234.1	Primary Assembly	4147	na
scaffold_4453	unplaced-scaffold	na	na	AAWR02049746.1	=	NW_001871235.1	Primary Assembly	4145	na
scaffold_4454	unplaced-scaffold	na	na	AAWR02049747.1	=	NW_001871236.1	Primary Assembly	4144	na
scaffold_4455	unplaced-scaffold	na	na	AAWR02049748.1	=	NW_001871237.1	Primary Assembly	4143	na
scaffold_4456	unplaced-scaffold	na	na	AAWR02049749.1	=	NW_001871238.1	Primary Assembly	4143	na
scaffold_4457	unplaced-scaffold	na	na	AAWR02049750.1	=	NW_001871239.1	Primary Assembly	4142	na
scaffold_4459	unplaced-scaffold	na	na	AAWR02049753.1	=	NW_001871242.1	Primary Assembly	4141	na
scaffold_4460	unplaced-scaffold	na	na	AAWR02049754.1	=	NW_001871243.1	Primary Assembly	4141	na
scaffold_4461	unplaced-scaffold	na	na	AAWR02049755.1	=	NW_001871244.1	Primary Assembly	4141	na
scaffold_4462	unplaced-scaffold	na	na	AAWR02049756.1	=	NW_001871245.1	Primary Assembly	4140	na
scaffold_4463	unplaced-scaffold	na	na	AAWR02049757.1	=	NW_001871246.1	Primary Assembly	4140	na
scaffold_4464	unplaced-scaffold	na	na	AAWR02049758.1	=	NW_001871247.1	Primary Assembly	4140	na
scaffold_4465	unplaced-scaffold	na	na	AAWR02049759.1	=	NW_001871248.1	Primary Assembly	4138	na
scaffold_4466	unplaced-scaffold	na	na	AAWR02049760.1	=	NW_001871249.1	Primary Assembly	4138	na
scaffold_4467	unplaced-scaffold	na	na	AAWR02049761.1	=	NW_001871250.1	Primary Assembly	4138	na
scaffold_4468	unplaced-scaffold	na	na	AAWR02049762.1	=	NW_001871251.1	Primary Assembly	4137	na
scaffold_4469	unplaced-scaffold	na	na	AAWR02049763.1	=	NW_001871253.1	Primary Assembly	4137	na
scaffold_4470	unplaced-scaffold	na	na	AAWR02049764.1	=	NW_001871254.1	Primary Assembly	4137	na
scaffold_4471	unplaced-scaffold	na	na	AAWR02049765.1	=	NW_001871255.1	Primary Assembly	4136	na
scaffold_4473	unplaced-scaffold	na	na	AAWR02049768.1	=	NW_001871257.1	Primary Assembly	4135	na
scaffold_4474	unplaced-scaffold	na	na	AAWR02049769.1	=	NW_001871258.1	Primary Assembly	4135	na
scaffold_4475	unplaced-scaffold	na	na	AAWR02049770.1	=	NW_001871259.1	Primary Assembly	4135	na
scaffold_4476	unplaced-scaffold	na	na	AAWR02049771.1	=	NW_001871260.1	Primary Assembly	4135	na
scaffold_4477	unplaced-scaffold	na	na	AAWR02049772.1	=	NW_001871261.1	Primary Assembly	4134	na
